,ABQ_DNI,ABQ_TEMP,ABQ_Timestamp,ABQ_WSPD,RSK_DNI,RSK_TEMP,RSK_Timestamp,RSK_WSPD,S1_Gfront,S1_celltemp,S1_dcP,S2_Gfront,S2_celltemp,S2_dcP,S3_Gfront,S3_celltemp,S3_dcP,S4_GPOAeff,S4_Gfront,S4_Grear,S4_celltemp,S4_dcP,S5_Gfront,S5_celltemp,S5_dcP,S6_GPOAeff,S6_Gfront,S6_Grear,S6_celltemp,S6_dcP,SPACE
0,0.0,0.0,2019-01-01 01:00:00-07:00,0.0,0.0,0.0,2020-01-01 01:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
1,0.0,0.0,2019-01-01 02:00:00-07:00,0.0,0.0,0.0,2020-01-01 02:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
2,0.0,0.0,2019-01-01 03:00:00-07:00,0.0,0.0,0.0,2020-01-01 03:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
3,0.0,0.0,2019-01-01 04:00:00-07:00,0.0,0.0,0.0,2020-01-01 04:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
4,0.0,0.0,2019-01-01 05:00:00-07:00,0.0,0.0,0.0,2020-01-01 05:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
5,0.0,0.0,2019-01-01 06:00:00-07:00,0.0,0.0,0.0,2020-01-01 06:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
6,0.0,0.0,2019-01-01 07:00:00-07:00,0.0,0.0,0.0,2020-01-01 07:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
7,264.832939082253,-4.73716215185217,2019-01-01 08:00:00-07:00,1.99200000634064,0.0,0.0,2020-01-01 08:00:00,0.0,102.8784332195542,-1.9088062311946499,367.3484067265063,102.8784332195542,-1.9088062311946499,367.3484067265063,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
8,754.498236083984,-3.65238333145777,2019-01-01 09:00:00-07:00,1.8037000020345,0.245347806616969,5.78043483651202,2020-01-01 09:00:00,3.08695652627426,431.8747040818566,8.371250041156017,1534.575078928689,431.8747040818566,8.371250041156017,1534.575078928689,4.645999821249413,5.899192368690475,112.32308906364385,4.954146253089891,4.645999821249413,0.47407143360073517,5.923628538419289,117.53613550576287,4.645999821249413,5.899192368690475,112.32308906364385,4.954146253089891,4.645999821249413,0.47407143360073517,5.923628538419289,115.24420028658031,
9,914.471581013997,-0.708700002978245,2019-01-01 10:00:00-07:00,2.92356666525204,1.5327595875081,5.79833341439565,2020-01-01 10:00:00,3.32055554621749,700.6385917507429,17.395391455711874,2404.228687846822,700.6385917507429,17.395391455711874,2404.228687846822,21.554755152086326,6.340853980929456,560.3479398687222,22.952222582111446,21.554755152086326,2.149949892346337,6.453547220987084,581.5860992749338,21.554755152086326,6.340853980929456,560.3479398687222,22.952222582111446,21.554755152086326,2.149949892346337,6.453547220987084,570.2452664478253,
10,978.551782226562,0.819633334409445,2019-01-01 11:00:00-07:00,2.96206666827201,5.31104851050509,5.71833329995473,2020-01-01 11:00:00,2.79694443543752,884.1050326170633,23.606168746332592,2947.554533213386,884.1050326170633,23.606168746332592,2947.554533213386,39.8763086792056,6.757404099235093,1063.788960881315,47.64510029963175,39.8763086792056,11.951987108347916,7.116903447366429,1240.4642053784175,39.8763086792056,6.757404099235093,1063.788960881315,47.64510029963175,39.8763086792056,11.951987108347916,7.116903447366429,1216.2753583637673,
11,1006.70961405436,2.14070000648498,2019-01-01 12:00:00-07:00,1.91981666882832,0.78240626272228,5.85666670004526,2020-01-01 12:00:00,3.08694444273908,981.7456900894975,29.261590098702325,3186.438163967314,981.7456900894975,29.261590098702325,3186.438163967314,67.49631609675494,7.581957843168746,1834.5863607920191,76.03008341523179,67.49631609675494,13.128872797656697,8.054227197373686,2007.5220219346775,67.49631609675494,7.581957843168746,1834.5863607920191,76.03008341523179,67.49631609675494,13.128872797656697,8.054227197373686,1968.3756742556604,
12,865.31721420288,3.23666667540868,2019-01-01 13:00:00-07:00,1.64185001055399,3.76999382280373,6.01643452471677,2020-01-01 13:00:00,3.30250695920588,941.123666896848,29.723585577561682,3051.233283176116,941.123666896848,29.723585577561682,3051.233283176116,66.18986139015566,7.684382250054895,1796.736744986982,70.77465370429663,66.18986139015566,7.053526637139963,8.038767860606772,1863.8603263617906,66.18986139015566,7.684382250054895,1796.736744986982,70.77465370429663,66.18986139015566,7.053526637139963,8.038767860606772,1827.515358005942,
