,S1_index,S1_Gfront,S1_cellTemp,S1_DCP String 1 [W],S1_DNI,S1_DHI,S1_Alb,S2_index,S2_Gfront,S2_cellTemp,S2_DCP String 1 [W],S3_index,S3_Gfront,S3_cellTemp,S3_DCP String 1 [W],S3_DNI,S3_DHI,S3_Alb,S4_index,S4_Gfront,S4_Grear,S4_cellTemp,S4_DCP String 1 [W],S5_index,S5_Gfront,S5_cellTemp,S5_DCP String 1 [W],S6_index,S6_Gfront,S6_Grear,S6_cellTemp,S6_DCP String 1 [W]
11,2020-01-01 12:00:00,929.1292997232491,24.087572017394564,3446.515870137817,1006.7095947265625,44.02446365356445,0.19200000166893005,2020-01-01 12:00:00,929.1292997232491,27.348146259998884,2863.073568052039,2020-01-01 12:00:00,63.796969251714174,7.1984290757918075,827.565530183385,0.7824062705039978,82.6732406616211,0.19200000166893005,2020-01-01 12:00:00,63.796969251714174,12.789067103879734,7.115157834762499,912.2924172960983,2020-01-01 12:00:00,82.10020499389839,7.5844888268621276,1074.1680753528312,2020-01-01 12:00:00,82.10020499389839,7.8808789069775695,7.477283874450563,1109.5742624932882
12,2020-01-01 13:00:00,885.8878333638943,25.47630439066984,3273.9008219606426,865.3171997070312,98.34003448486328,0.19200000166893005,2020-01-01 13:00:00,885.8878333638943,28.784651697253025,2713.1020689566826,2020-01-01 13:00:00,63.557133381201815,7.313564217695671,825.821994621033,3.769993782043457,72.59577178955078,0.19200000166893005,2020-01-01 13:00:00,63.557133381201815,6.9937856461283125,7.2331470483159706,861.3577538330002,2020-01-01 13:00:00,69.49321565802285,7.429109241774199,905.8266570729105,2020-01-01 13:00:00,69.49321565802285,7.127281509296087,7.341399761692401,940.0899263558115
13,2020-01-01 14:00:00,773.7783761882607,22.77775486669333,2902.3262257044967,731.146240234375,136.00863647460938,0.19200000166893005,2020-01-01 14:00:00,773.7783761882607,25.4808120290337,2417.0955689705975,2020-01-01 14:00:00,87.45804242553824,7.8981444023178256,1183.020112757343,33.136260986328125,93.19073486328125,0.19200000166893005,2020-01-01 14:00:00,87.45804242553824,19.861782493176833,7.782137020682967,1294.2839325495775,2020-01-01 14:00:00,128.42317508764822,8.754320998407309,1691.09659316653,2020-01-01 14:00:00,128.42317508764822,8.257693876929437,8.584878070286209,1710.033253255844
14,2020-01-01 15:00:00,546.944748038454,16.311815940093993,2115.813812639448,550.0831909179688,128.2519073486328,0.19200000166893005,2020-01-01 15:00:00,546.944748038454,17.883852572429703,1779.60482237929,2020-01-01 15:00:00,45.38829856775855,6.897803439382585,551.2218964537119,2.2719335556030273,47.410804748535156,0.19200000166893005,2020-01-01 15:00:00,45.38829856775855,5.89508459038597,6.839925930410857,582.9011832005519,2020-01-01 15:00:00,49.28078907371018,6.979446692661043,600.4116210711026,2020-01-01 15:00:00,49.28078907371018,4.599635458095554,6.916587749093253,620.2954692932583
15,2020-01-01 16:00:00,191.6243853764472,9.604128219846132,752.5699915054655,96.70661926269531,135.5696563720703,0.19200000166893005,2020-01-01 16:00:00,191.6243853764472,10.160027124216242,635.5248171512097,2020-01-01 16:00:00,12.213446654117249,6.045192142997962,91.67278835619511,0.22710013389587402,13.566732406616211,0.19200000166893005,2020-01-01 16:00:00,12.213446654117249,1.3248596836059163,6.0338595080135065,96.27436857375888,2020-01-01 16:00:00,11.426044911782888,6.029933937164117,85.486204713091,2020-01-01 16:00:00,11.426044911782888,1.5166915750375538,6.019311071158029,91.1858358278136
16,2020-01-01 17:00:00,29.967040648189645,5.975406642878909,106.8320976334462,2.286679744720459,33.49550247192383,0.19200000166893005,2020-01-01 17:00:00,29.967040648189645,6.050395087683285,89.48239350681023,2020-01-01 17:00:00,0.0,0.0,0.0,0.0,0.0,0.19200000166893005,2020-01-01 17:00:00,0.0,0.0,0.0,0.0,2020-01-01 17:00:00,0.0,0.0,0.0,2020-01-01 17:00:00,0.0,0.0,0.0,0.0
17,2020-01-01 18:00:00,0.0,0.0,0.0,0.0,0.0,0.19200000166893005,2020-01-01 18:00:00,0.0,0.0,0.0,2020-01-01 18:00:00,0.0,0.0,0.0,0.0,0.0,0.19200000166893005,2020-01-01 18:00:00,0.0,0.0,0.0,0.0,2020-01-01 18:00:00,0.0,0.0,0.0,2020-01-01 18:00:00,0.0,0.0,0.0,0.0
18,2020-01-01 19:00:00,0.0,0.0,0.0,0.0,0.0,0.19200000166893005,2020-01-01 19:00:00,0.0,0.0,0.0,2020-01-01 19:00:00,0.0,0.0,0.0,0.0,0.0,0.19200000166893005,2020-01-01 19:00:00,0.0,0.0,0.0,0.0,2020-01-01 19:00:00,0.0,0.0,0.0,2020-01-01 19:00:00,0.0,0.0,0.0,0.0
19,2020-01-01 20:00:00,0.0,0.0,0.0,0.0,0.0,0.19200000166893005,2020-01-01 20:00:00,0.0,0.0,0.0,2020-01-01 20:00:00,0.0,0.0,0.0,0.0,0.0,0.19200000166893005,2020-01-01 20:00:00,0.0,0.0,0.0,0.0,2020-01-01 20:00:00,0.0,0.0,0.0,2020-01-01 20:00:00,0.0,0.0,0.0,0.0
20,2020-01-01 21:00:00,0.0,0.0,0.0,0.0,0.0,0.19200000166893005,2020-01-01 21:00:00,0.0,0.0,0.0,2020-01-01 21:00:00,0.0,0.0,0.0,0.0,0.0,0.19200000166893005,2020-01-01 21:00:00,0.0,0.0,0.0,0.0,2020-01-01 21:00:00,0.0,0.0,0.0,2020-01-01 21:00:00,0.0,0.0,0.0,0.0
21,2020-01-01 22:00:00,0.0,0.0,0.0,0.0,0.0,0.19200000166893005,2020-01-01 22:00:00,0.0,0.0,0.0,2020-01-01 22:00:00,0.0,0.0,0.0,0.0,0.0,0.19200000166893005,2020-01-01 22:00:00,0.0,0.0,0.0,0.0,2020-01-01 22:00:00,0.0,0.0,0.0,2020-01-01 22:00:00,0.0,0.0,0.0,0.0
22,2020-01-01 23:00:00,0.0,0.0,0.0,0.0,0.0,0.19200000166893005,2020-01-01 23:00:00,0.0,0.0,0.0,2020-01-01 23:00:00,0.0,0.0,0.0,0.0,0.0,0.19200000166893005,2020-01-01 23:00:00,0.0,0.0,0.0,0.0,2020-01-01 23:00:00,0.0,0.0,0.0,2020-01-01 23:00:00,0.0,0.0,0.0,0.0
23,2020-01-02 00:00:00,0.0,0.0,0.0,0.0,0.0,0.19200000166893005,2020-01-02 00:00:00,0.0,0.0,0.0,2020-01-02 00:00:00,0.0,0.0,0.0,0.0,0.0,0.19200000166893005,2020-01-02 00:00:00,0.0,0.0,0.0,0.0,2020-01-02 00:00:00,0.0,0.0,0.0,2020-01-02 00:00:00,0.0,0.0,0.0,0.0
