,soiling,moduleMismatch,diodesandConnections,shading,reflectionIAM,moduledeviationfromSTC
S1,5.000000000000131,2.0,0.5,0.7469303418401272,2.716976358732985,3.445354230982058
S2,5.000000000000005,2.0,0.5,0.7469303418400713,2.7169763587330364,5.929698937271118
S3,4.999999999999995,2.0,0.5,1.4776068237136237,2.4784577136571704,2.8280676961503066
S4,5.000000000000107,2.0,0.5,1.477606823712881,2.478457713657609,1.6812752585066266
S5,4.99999999999958,2.0000000000000004,0.5000000000000001,1.5394169002117204,3.49700653128029,2.726704592156352
S6,5.000000000000193,2.0,0.5,1.5394169002109301,3.4970065312801033,1.639079033476926
